event_id,ticket_id
e9c349e0-3602-48ac-90f1-bc81448aaa9e,ca939eb1-80b9-42e8-a700-cd0c03338ca3
edcd465e-3638-4821-b6e0-7cc06c52c49f,c096d407-736c-46f4-bd39-c013c8ba7631
8dcdcd03-969b-4662-8562-8059568cc69b,4e35f6b2-6886-40df-84e1-ba7ea164afe8
b92da22b-21df-406f-8a0b-3c3336d8393a,2b3ab935-e674-4dde-8c64-7d9ccc22ed0d
fc377a4c-4a15-444d-85e7-ce8a3a578a8e,83bab568-86c3-4ec6-807a-2ac8be8dd112
8dcdcd03-969b-4662-8562-8059568cc69b,4e22a736-59d2-40c8-a9af-e1da644f8afc
c0398710-8976-4334-a281-7efdae849217,a24b5c89-88e5-42ab-ba8c-2853d2cd4072
ae270da7-02f0-4b90-b143-262fdc5c0eed,f2140dcf-f8f1-4ed5-9f25-60ee1479a79b
474a493b-3ced-4f2d-839f-bc501223b513,e3f41f28-a9af-414a-9fab-ec5c5a418e1b
366eb16f-508e-4ad7-b7c9-3acfe059a0ee,298f229f-8610-4316-90c5-475e3c270988
580d7b71-d8f5-4413-9be6-128e18c26797,f9a72e90-8e23-475a-8a50-f7154ff7e127
a28defe3-9bf0-4273-9247-6f57a5e5a5ab,fe9136f1-1646-47d2-99d3-4718d1655506
a28defe3-9bf0-4273-9247-6f57a5e5a5ab,d470097d-f61d-4919-b00d-445a26421cd3
fa5d3100-11b7-4948-90e6-e6607c69dee1,743fc803-5adf-4d78-b39e-aed6f439fa53
4b22d308-1c8e-4ee9-9715-bd6fa4161293,75845ce3-7af5-43c7-beab-b6cd88f1ded9
972a8469-1641-4f82-8b9d-2434e465e150,b5d2eeb8-58bd-4cd3-8f15-5f8062c2791a
474a493b-3ced-4f2d-839f-bc501223b513,000354b2-3f57-4008-b2f1-e6e301c5f550
ff50bde4-3825-47b8-9cab-cc97663f1c97,a50f3513-aac7-4a9c-93b0-ea0d520a6bce
ce177b4e-0837-48a3-9261-a7ab3aa2e4f9,cfe3071f-cc8d-42ce-91d2-fd13a369b45c
