fraud_pattern,purchase_price,resale_price,transaction_id,transaction_type,ts
none,284.59,0.0,a1098cde-a8f1-415b-9865-cbbc7d7b9e1f,Purchase,1787728510943
none,175.61,0.0,6484fc19-2ccb-4810-845c-5e8e9e0db415,Purchase,1787728514158
none,92.13,0.0,3ebe83ed-bf73-4a79-a838-cd86bdde0018,Purchase,1787728550356
none,282.59,0.0,887769a4-0fab-4439-a5b7-cd610873a9ec,Purchase,1787728771068
none,51.54,0.0,e5741d7f-2551-4917-8444-da1c9ca56cc4,Purchase,1787728863025
none,92.13,0.0,5275fe00-2f84-475c-b4dd-0be936c2fe11,Purchase,1787728878019
none,102.04,0.0,6adb8b8d-fff4-4269-9a1b-918a9a95f471,Purchase,1787728952085
none,224.59,0.0,f24b66bd-c3f9-462f-b825-665e296031a3,Purchase,1787728969421
none,210.62,0.0,5aa8c111-2202-455a-bb3a-fa7860bf54b5,Purchase,1787729141056
none,206.97,0.0,c8796644-ab18-42d8-bd8d-6104a4d68525,Purchase,1787729216324
none,193.01,0.0,c5e8dd87-74a1-437a-8e0e-c54ff7bfead4,Purchase,1787729229679
none,76.21,0.0,fa143e10-bcdc-42ac-bd29-990aaca54043,Purchase,1787729266607
none,76.21,0.0,e1001711-d46b-4fd8-abc3-29eb1d9a7630,Purchase,1787729281179
none,235.36,0.0,f0bcc5e9-a1f9-42de-b701-36d3118d5e4e,Purchase,1787729313398
none,147.39,0.0,0786f404-5bb4-4dde-b83d-baadb8365905,Purchase,1787729372470
none,143.92,0.0,5d668bdc-faf2-4164-b913-04680178d0a5,Purchase,1787729432272
none,210.62,0.0,89bf9377-74c0-46ad-b1f3-329bed8082fe,Purchase,1787729457150
none,299.34,0.0,a7d4ca94-b438-43b8-a52d-d79107356d8a,Purchase,1787729458493
none,115.17,0.0,ecf6be91-9973-4476-a8cc-725d340322e3,Purchase,1787729549434
none,53.13,0.0,09721838-0341-4f0d-8bad-e0b66a316f38,Purchase,1787729559119
none,241.85,0.0,e7241517-2cff-4e32-9345-c4a195f7186d,Purchase,1787729649380
none,180.38,0.0,f57c6091-30ba-404f-9b9f-5e2e12d73016,Purchase,1787729783262
none,148.29,0.0,dd356b29-5434-486f-b323-9a1ea2630319,Purchase,1787729815349
none,132.45,0.0,2b8ec49c-8129-4fe9-a44e-f594a5f29c93,Purchase,1787729879819
none,174.78,0.0,4cf0325d-c8cc-40bc-a580-5bcbb14d94dd,Purchase,1787729925558
none,102.04,0.0,0856eabb-3ccf-4d55-bbaf-113e09fa8a56,Purchase,1787729997971
none,193.01,0.0,4fbad3c1-21d7-45e2-ac79-1f3f65cb9b76,Purchase,1787730010350
none,102.04,0.0,dba06693-e702-45a0-8770-fc7923cd83af,Purchase,1787730029812
none,104.26,0.0,a2b3fe51-cf39-48cf-bb96-2ef833ab6ceb,Purchase,1787730045568
none,102.04,0.0,15613a4c-2766-4a94-8fa3-bc52435af50f,Purchase,1787730125344
none,45.64,0.0,26431729-5441-4e3e-a2a1-29bfde43430a,Purchase,1787730139433
none,292.19,0.0,6908843f-46be-4e46-a987-9557f2f5c498,Purchase,1787730164882
none,247.57,0.0,8403b14d-04c1-4ff8-b6a9-1f2c8a3dbbc7,Purchase,1787730184219
none,147.39,0.0,9885e2b5-ecba-4ab5-92e4-43ef6333cf58,Purchase,1787730211600
none,175.61,0.0,5402befe-b881-42a6-908e-d5699b1986bc,Purchase,1787730277297
none,179.05,0.0,7f862e6c-ec0f-4625-aa7d-f98d0356fed8,Purchase,1787730344253
none,53.13,0.0,eb25b11e-4bd4-485a-afb1-af4a38f5abdc,Purchase,1787730567846
none,175.61,0.0,91eca6b7-2d7b-4702-a365-798bcb6bb8fe,Purchase,1787730575527
none,241.85,0.0,322f01ee-4311-46d0-be5c-997c5b93f3f5,Purchase,1787730602907
none,180.38,0.0,c34ed522-36e9-46f7-a92d-f326570978fd,Purchase,1787730605466
none,53.13,0.0,daf49b6f-ffb4-4ed3-83a8-98aef064bbeb,Purchase,1787730612329
none,262.66,0.0,e3616c92-1753-44cd-ab9d-e57b80706987,Purchase,1787730633875
none,71.98,0.0,3099e172-a72c-467c-9439-6e8e5a7c64f7,Purchase,1787730649305
none,265.56,0.0,909d8248-0286-46cd-88aa-fc350becfc1c,Purchase,1787730671503
none,200.4,0.0,91264cde-4ee5-4e91-8773-f06c95c53c14,Purchase,1787730735548
none,189.1,0.0,7d4d1c83-fb06-488c-808a-304ddcd7d7e0,Purchase,1787730757787
none,147.39,0.0,f1a6e166-e424-4c55-96cd-65eb05927e6f,Purchase,1787730763820
none,262.66,0.0,9ff17773-18c5-4e3a-ad75-cb005afc2113,Purchase,1787730766874
none,129.95,0.0,3fdaee3b-a0ad-40cd-b23c-c9f8e31c18f2,Purchase,1787730818932
none,266.48,0.0,e874a9f5-e6ae-497a-b63b-ea6f0c62c937,Purchase,1787730820219
none,42.37,0.0,13cc068c-832f-4621-adb6-9f24cf4860ec,Purchase,1787730824668
none,262.1,0.0,1d9d1af5-269b-46c9-b705-426fc4c5f34c,Purchase,1787730870423
none,235.36,0.0,435a594f-0dcb-4860-9e32-63a9ee6b7509,Purchase,1787730899762
none,262.66,0.0,9c0dd487-df51-41ea-8951-44e33483d501,Purchase,1787730973348
none,180.38,0.0,155a9bb8-a7a7-4497-90c5-43bbfcc22d0f,Purchase,1787730977161
none,267.25,0.0,5905aaf0-7d47-45aa-9ae1-0f928f61c7de,Purchase,1787731006675
none,158.33,0.0,aa91e486-6ac2-4a2e-b333-1bb3a4175c6a,Purchase,1787731040215
none,129.95,0.0,f1015258-108e-484d-a11c-00acf8e65ce3,Purchase,1787731067882
none,205.47,0.0,96c77e35-410c-43c6-84f2-9f9680719434,Purchase,1787731081400
none,180.38,0.0,d91b8078-76a3-45d6-8aef-16f42a25108c,Purchase,1787731121709
none,45.64,0.0,a4410949-353a-490c-9229-8c12d558aa29,Purchase,1787731182003
none,115.17,0.0,5c611bed-18a8-4a6a-9a62-1aad7cf6c2ac,Purchase,1787731239856
none,42.72,0.0,fba9f834-7b89-44cf-9880-483aa00a5d57,Purchase,1787731269940
none,133.04,0.0,9b2ed73c-a5a8-4718-bb42-9ea7fbb067b6,Purchase,1787731293302
none,129.95,0.0,0b7cdf90-1f0f-4185-a997-d8d7d8ea4fda,Purchase,1787731346338
none,110.58,0.0,5c8e30e0-82a8-4bac-a67c-79f8c7213585,Purchase,1787731349944
none,105.05,0.0,dc82e8b6-339e-418d-90a8-0d65f97656dd,Purchase,1787731412929
none,210.62,0.0,34c3d176-1e17-4056-ac6b-8f13c96e3397,Purchase,1787731499551
none,56.17,0.0,a5b07314-eda6-4e88-8f69-72b2e3f25578,Purchase,1787731503503
none,243.86,0.0,0b16a560-bb8d-4355-9f78-faf3de218952,Purchase,1787731563947
none,53.13,0.0,2fe4b141-9658-4837-b668-f895696187a3,Purchase,1787731588677
none,262.1,0.0,484e3017-fb02-4603-aafc-6c87b92a9a05,Purchase,1787731593522
none,206.97,0.0,25bb7826-3df9-41d9-9b7e-add83720f500,Purchase,1787731623113
none,71.98,0.0,431ece4d-b7e6-4676-9158-93c1728c0d84,Purchase,1787731638421
none,205.47,0.0,ac61660c-d028-4f21-b935-e8c77286091a,Purchase,1787731681120
none,189.1,0.0,5b34d91f-3b79-48d7-bc6c-7b460a36f04a,Purchase,1787731720328
none,299.34,0.0,71540091-2f87-4e84-b3dc-a100392b5a79,Purchase,1787731732686
none,132.45,0.0,0e946816-dbc2-473e-a8fd-368d6251452f,Purchase,1787731797191
none,284.59,0.0,1285b9ea-7117-480f-aca9-bb06e4496f9b,Purchase,1787731822303
none,92.13,0.0,2ec53f34-d020-4eeb-9bdb-a349a1e0ba73,Purchase,1787731833597
none,205.47,0.0,e0101fd1-274b-4253-84a8-1ba770ffd181,Purchase,1787731839797
none,247.57,0.0,3f34d00d-4015-4787-8261-47aa3aff8085,Purchase,1787731871280
none,189.1,0.0,40a95713-52e8-4600-b851-17a01ae45fe6,Purchase,1787731949324
none,92.13,0.0,83f5b2bf-1bdc-4236-85fd-a38b783e4df3,Purchase,1787731966775
none,247.57,0.0,aa9cb5a7-f6a7-4dce-84a0-6865c0fcc8b1,Purchase,1787731998134
none,299.34,0.0,f7905f24-42e0-4cbc-a592-0924067bfad6,Purchase,1787732044434
none,129.95,0.0,b19b9bd4-c355-4eb0-8d6a-d14f6d2525aa,Purchase,1787732056932
none,240.23,0.0,5118cc0f-1830-4e4d-8281-b9dc6eece3d7,Purchase,1787732096395
none,299.34,0.0,cc76ebcc-9ece-4176-93d4-1a87d7e406b0,Purchase,1787732096469
none,92.13,0.0,02604e02-6579-4f6a-9be1-8397664dca46,Purchase,1787732171687
none,266.48,0.0,43e2a542-1103-4dc1-9e66-4d91195d0638,Purchase,1787732202500
none,42.37,0.0,b5027d83-0b43-4c88-8e5a-5b5a9d02c45a,Purchase,1787732241991
none,267.25,0.0,a79ddab5-4f40-43ff-a292-5c7d3aace3bc,Purchase,1787732252573
circular_resale,175.61,191.69,86403806-a366-4154-b136-e9e57f71a837,Resale,1787732254682
none,42.72,0.0,9aa468fd-7d86-4f8a-af1f-fe501f6e8186,Purchase,1787732381860
none,45.64,0.0,f38a8e6a-685f-404c-93b2-6336c9ae2e12,Purchase,1787732382648
none,153.89,0.0,990bc0f0-e373-43be-b53c-7526031de67c,Purchase,1787732410024
none,262.1,0.0,95a3684a-5a4c-458e-9b8b-5a3b1b2de2d3,Purchase,1787732421790
none,92.13,0.0,b09a89c7-25ca-4350-80a1-0df084283292,Purchase,1787732444594
none,272.41,0.0,363bc02d-fb7a-4b9d-9a8f-81693356c5ba,Purchase,1787732535589
none,51.54,0.0,2204297b-bb8a-472b-8caf-4c3b18a3cfd3,Purchase,1787732607213
none,266.48,0.0,9cbcd096-74d0-4990-82c8-5e02447b1679,Purchase,1787732721158
none,206.97,0.0,17b0d10b-bc78-4dd3-a5e0-232d951f0fe1,Purchase,1787732756275
none,115.17,0.0,30beb970-038f-4250-b071-e3e5f6b200de,Purchase,1787732840805
none,114.16,0.0,e320b76b-a28e-4b46-861b-d27e936b8c4a,Purchase,1787732850551
none,92.13,0.0,29b8c67e-6ba2-42e7-bb93-6bcf9a3cd24f,Purchase,1787732899216
none,114.16,0.0,283bacab-2825-48f0-93a9-2749730b4675,Purchase,1787732926327
none,282.59,0.0,70f6455f-3d2a-4cf0-ac1c-84a868f8794b,Purchase,1787732968490
none,147.39,0.0,6615d7d5-170b-4bca-9362-18ea3f275ab7,Purchase,1787733019871
none,133.04,0.0,a874329c-3352-475d-b090-2a1241553e7f,Purchase,1787733068792
none,243.86,0.0,68aac838-5f95-4982-b573-e7090fddf7c8,Purchase,1787733074740
circular_resale,175.61,190.22,bc9b944f-c6a3-45d4-93c9-6c608551e6e8,Resale,1787733181824
none,92.13,0.0,112db7de-565a-402f-9a41-7c45e2fe45b4,Purchase,1787733201510
none,90.67,0.0,d86cbf26-b992-45dc-a2c9-c08d09fbb0c9,Purchase,1787733205883
none,240.23,0.0,905cd29b-e61a-4835-98e2-556c05e25e04,Purchase,1787733287787
none,115.17,0.0,8ebd9049-fa7a-4028-ae15-79669ed392d2,Purchase,1787733288065
none,205.47,0.0,16e39eab-07f9-41e7-9098-e4ad1d1a4430,Purchase,1787733294919
hub_account,117.52,0.0,832bd042-2d7c-4657-ac60-81446cb53299,Purchase,1787733362442
none,158.33,0.0,066ace3c-1fbb-42c6-9663-ab0b935dd7f1,Purchase,1787733528383
none,147.39,0.0,8ef35559-4b4e-4a40-833d-ed118a62b89f,Purchase,1787733535428
none,55.04,0.0,b6039848-5367-4ace-912d-c72d36165973,Purchase,1787733549368
none,166.45,0.0,794b5d3f-fe90-4b45-85c6-b6f1bdedd027,Purchase,1787733597755
none,129.95,0.0,8f8fb677-0e5a-4afc-a2b4-c44806ac2a95,Purchase,1787733647745
none,147.39,0.0,7ee99138-6032-4bae-bffa-d92a4c320275,Purchase,1787733667539
none,299.34,0.0,35233841-77eb-47e5-9d40-0dc7c8490cce,Purchase,1787733680146
none,71.27,0.0,74ee28e5-cb99-40ad-b909-69b5e3f4e327,Purchase,1787733706143
none,241.85,0.0,f5469b9f-9ac3-493f-93dd-19b2f9fe7ba5,Purchase,1787733736743
none,42.37,0.0,1215b316-a251-4a41-9761-07aba9f548b6,Purchase,1787733789445
bot_ring,156.1,0.0,734f61ca-af5f-446a-aeb5-34fa12bf7a23,Purchase,1787733856580
bot_ring,156.1,0.0,1a648d30-0963-461c-bafb-783068aae55f,Purchase,1787733859367
bot_ring,156.1,0.0,ce0aaa92-30df-4ed0-a7a3-7614b4e2fbce,Purchase,1787733860891
bot_ring,156.1,0.0,70a50d6c-be7d-4442-9042-efc718aba437,Purchase,1787733860994
bot_ring,156.1,0.0,5a90f2bc-170b-43e2-b82d-ac3a3bb77859,Purchase,1787733861405
bot_ring,156.1,0.0,392cbbe0-88e0-4703-bc62-eccf9c88df90,Purchase,1787733861911
bot_ring,156.1,0.0,0d28f5e4-f373-457b-bbbf-ec61e3447f1d,Purchase,1787733863757
bot_ring,156.1,0.0,60c2ad65-46a7-4fbe-9c77-6b87ecd6b988,Purchase,1787733864022
bot_ring,156.1,0.0,7c1b4227-98ac-43c0-b9c2-e9d49b7eb2c8,Purchase,1787733864035
bot_ring,156.1,0.0,63dcb932-e5b0-4143-8397-82737ce8abfb,Purchase,1787733864050
bot_ring,156.1,0.0,7f140af5-6bb4-420a-b1f6-a9b6ca8304bf,Purchase,1787733864562
bot_ring,156.1,0.0,50a7db25-446b-47ee-b2a4-1cc592dc7824,Purchase,1787733864607
bot_ring,156.1,0.0,6ee1e14b-3a95-416f-800b-2ed1109ec9c3,Purchase,1787733867142
bot_ring,156.1,0.0,87410f48-b2c8-4d8b-8d40-a2ea31bee6d3,Purchase,1787733867461
bot_ring,156.1,0.0,8c4d2dae-b7f6-4ccc-a82d-c67419d0eebb,Purchase,1787733868261
bot_ring,156.1,0.0,5db58cdc-7f8b-4f9f-b1e5-2e8895111968,Purchase,1787733870373
bot_ring,156.1,0.0,92ed1507-0f31-427c-8b02-42cdd6e39e87,Purchase,1787733870409
