account_id,is_platform
944bad04-9161-4c6c-9f41-dfcfcdccb9d9,False
e9d6bb7e-361d-4014-b114-56de301c8db3,False
a522f92f-4b20-46a2-aa1c-8b533e2e7201,False
fe3f5662-0468-4a4a-a1e5-835e3e9f069a,False
87a6c63c-65a1-4e9c-bb39-b8aa39d0eb01,False
078c7f1d-2e65-4eb1-95f3-04a02de94792,False
0e721365-a4e6-4afd-a6cc-d201335dc080,False
354f184e-5739-4b03-90e9-4dce6241cba3,False
3286af00-2a8b-4289-9f19-297ebf86ad63,False
86879aa9-14f5-43d0-8991-2032df85c777,False
46586cb2-6fdb-4b51-af7b-80f1c2be7bac,False
48c3a59d-ec71-42e7-b028-eb2d5e9432d6,False
3c07c574-4925-4af1-b6aa-e05b13d5f2f7,False
029e435d-b0b6-45da-a8c1-8df945ca17af,False
68a650ce-f7fb-48d5-8e28-a0886771dc17,False
be2d740a-1e9b-43bc-90c7-c006314d3441,False
c7569b9b-ca12-4556-b5cc-a86b92e92aa7,False
f7a67b94-7b5a-411a-b1b6-4afed31edf1a,False
192bb3bc-e843-4f65-aef0-244b2c19ee3d,False
e645bb00-d3e6-4c21-b10b-394d6021a15b,False
f486a251-1414-4827-a632-c350ff712ff4,False
d4cd45a9-870d-4661-8e1c-0d4db2eb3819,False
8702f4ad-cca3-44c4-ae49-82cf7c239ebc,False
bd717da3-3581-4632-94f5-df7005d2d205,False
ecaf8800-ad8a-4364-a379-064fb241b95b,False
57bcad3a-d0a1-4fe8-9f64-2a5317cba85d,False
8ccc9cea-109f-48ee-b5a4-720058f0dd23,False
cea95510-54de-4c80-908d-13dff3dcd264,False
2ba46308-7e77-46aa-8015-575691b0af07,False
fd28750f-5868-4a1b-accb-cb41d7b205e5,False
a484be3e-2191-490c-bc86-1a6af55db8b9,False
a14923c2-f920-464c-8763-fcd01f15c7b6,False
da42698b-fbc0-43a8-8708-cf0f8b490e26,False
75566ff1-b91a-4e28-a1e6-8d3577c8c297,False
966be275-c2fe-4954-8dfd-9531302b7831,False
62c57829-6210-4734-9ded-b8538658c2e5,False
1c179c69-9535-49c6-8379-b61d1a9e82f5,False
fcfd348c-00f0-47fe-b8e7-bcf5854c0d1f,False
797e3984-ded7-43ef-b5e4-a9c12d761ffa,False
95866982-f7e8-48a2-821d-f2cfd9fc13b8,False
9a2fc701-f3af-4b09-8c12-6e0e121af952,False
e7ba26ac-ab7a-4d1c-8cfe-f6833e11bafe,False
df8b4008-7d01-45a3-8041-f5d49549e631,False
